CIC0,SM1_Dz(Z),GATS1i,NdsCH,NdssC,MLOGP,LC-50
-0.225012,-0.94634,-0.863782,-0.378427,-0.563909,-0.174636,3.755
-1.021215,0.470364,-1.000732,-0.378427,-0.563909,0.955019,4.552
-0.902181,-0.108454,-1.152899,-0.378427,-0.563909,0.01236,3.62
-1.074119,0.026915,-1.155436,-0.378427,-0.563909,0.01236,4.459
-0.084817,-1.154061,-0.87139,-0.378427,-0.563909,-0.174636,2.827
-1.021215,-0.521562,-0.955082,6.229485,1.758219,-1.184976,6.38
0.240542,-0.521562,0.799915,1.273551,0.597155,-0.342096,4.786
-1.669287,0.026915,1.018021,-0.378427,-0.563909,-1.18707,3.861
-0.898213,-0.057107,0.617314,-0.378427,-0.563909,-0.058112,3.262
-1.724836,-0.94634,0.099945,2.925529,-0.563909,-1.406163,6.297
-1.428575,-0.302171,0.442322,1.273551,-0.563909,-0.305115,3.546
-1.84916,0.470364,1.515101,-0.378427,-0.563909,-0.203942,2.92
-1.833289,0.026915,1.395904,-0.378427,-0.563909,-1.229632,3.203
-0.447208,-1.154061,1.177797,-0.378427,-0.563909,-1.229632,2.283
-1.428575,-1.154061,0.383991,-0.378427,-0.563909,-1.330806,1.559
-2.035646,-1.154061,-0.414888,1.273551,-0.563909,-1.406163,3.47
-2.950883,-0.108454,0.170956,-0.378427,-0.563909,-1.330806,4.748
-0.747437,-0.88099,1.654588,-0.378427,-0.563909,-2.20648,2.576
-1.153475,-0.94634,0.343413,1.273551,-0.563909,-1.330806,5.259
-1.724836,-0.94634,-0.572127,-0.378427,-0.563909,-1.330806,4.564
-2.55675,0.026915,1.018021,1.273551,-0.563909,-1.330806,4.37
-1.252669,-0.521562,1.482132,-0.378427,-0.563909,-2.20648,0.053
-2.510459,-0.521562,0.523477,2.925529,-0.563909,-2.383011,2.381
-1.833289,-0.694274,0.845565,1.273551,-0.563909,-1.741082,2.891
0.424383,-0.521562,0.78977,-0.378427,-0.563909,-0.97914,1.088
1.113456,-1.154061,0.728903,-0.378427,-0.563909,0.11493,3.721
1.019552,-0.332513,0.203926,-0.378427,-0.563909,0.82454,3.701
0.888614,1.740031,2.448394,-0.378427,-0.563909,-0.041366,6.083
4.004652,-1.154061,0.957154,-0.378427,-0.563909,2.856384,4.628
1.195457,-0.521562,0.591953,1.273551,-0.563909,-0.167659,3.7
-0.12714,-0.94634,0.77709,-0.378427,0.597155,-0.729346,1.842
-0.867794,1.091194,1.555679,-0.378427,0.597155,-2.839338,3.396
-1.267218,0.281315,-0.5772,-0.378427,-0.563909,-0.43071,2.99
-1.021215,-0.521562,1.005341,1.273551,0.597155,-1.137529,3.573
0.240542,-0.94634,0.733976,-0.378427,0.597155,-0.465597,2.271
0.501094,-0.94634,1.459307,-0.378427,-0.563909,-0.364424,2.085
0.371479,-1.46681,-0.584808,-0.378427,-0.563909,0.581026,3.822
-0.225012,-0.94634,-0.863782,-0.378427,-0.563909,-0.174636,3.29
-0.367852,-0.302171,-0.769945,-0.378427,-0.563909,0.768022,3.84
-0.902181,-0.108454,-1.152899,-0.378427,-0.563909,0.01236,3.979
-0.084817,-1.154061,-0.87139,-0.378427,-0.563909,-0.174636,3.47
-0.71305,-0.521562,-1.216303,-0.378427,-0.563909,-0.848661,3.314
-0.440595,0.150614,1.758569,-0.378427,1.758219,-1.431979,4.031
-1.075441,1.051517,-1.010877,-0.378427,-0.563909,1.363202,4.74
-0.843987,-0.057107,-1.160508,-0.378427,-0.563909,0.652894,4.194
0.015701,-1.46681,-0.744584,-0.378427,-0.563909,0.347978,3.447
-0.510693,-1.154061,-0.0015,-0.378427,-0.563909,-0.881456,2.364
-0.843987,-0.302171,-0.980443,-0.378427,-0.563909,0.534974,3.645
0.240542,-0.94634,0.231823,-0.378427,-0.563909,-0.637941,2.07
-0.042494,-0.94634,0.099945,-0.378427,0.597155,-0.739115,2.27
-0.67734,-0.94634,-1.107249,-0.378427,-0.563909,-0.420941,3.513
-0.510693,-1.154061,-0.0015,-0.378427,-0.563909,-0.881456,2.811
0.807936,0.526379,0.467683,-0.378427,-0.563909,0.096788,2.832
0.108282,-0.88099,2.453467,-0.378427,-0.563909,-1.515709,1.639
-0.510693,-1.154061,-0.0015,-0.378427,-0.563909,-0.881456,2.016
0.108282,-0.88099,1.687558,-0.378427,-0.563909,-1.515709,1.651
0.745774,-0.521562,1.073816,-0.378427,0.597155,-0.034389,4.097
-0.189302,-0.521562,0.673109,-0.378427,0.597155,-0.776793,3.123
-0.189302,-0.521562,1.395904,-0.378427,0.597155,-0.776793,3.231
-1.15612,0.813454,0.087264,-0.378427,-0.563909,0.345187,5.052
-0.382401,-0.057107,0.597025,-0.378427,-0.563909,0.216103,3.572
-0.026622,-1.154061,0.990124,-0.378427,-0.563909,-0.913552,2.436
-1.239443,-1.154061,-0.199317,1.273551,-0.563909,-1.089385,2.567
-0.308335,-0.88099,1.187942,-0.378427,-0.563909,-1.844349,1.795
-2.178487,-0.88099,-0.425032,-0.378427,-0.563909,-2.020181,5.072
-0.689243,-0.694274,2.073048,-0.378427,-0.563909,-1.844349,2.156
-0.703792,-0.521562,3.328429,-0.378427,-0.563909,-1.561063,1.037
-0.026622,-1.154061,2.050223,-0.378427,-0.563909,-0.913552,1.932
-1.239443,-1.154061,-0.059831,-0.378427,-0.563909,-1.362902,2.505
-0.576823,-0.94634,0.952082,-0.378427,-0.563909,-1.18707,1.524
-1.481479,-0.94634,-0.229751,-0.378427,-0.563909,-1.362902,3.048
0.940196,0.42602,-0.265257,-0.378427,-0.563909,0.82454,5.115
0.552675,-0.94634,0.703542,-0.378427,0.597155,-0.219292,2.856
-1.187862,0.150614,-0.41996,2.925529,1.758219,-1.785738,4.366
1.683495,0.150614,0.974907,-0.378427,1.758219,0.516135,4.976
0.552675,-0.94634,0.703542,-0.378427,0.597155,-0.219292,2.94
0.717999,-1.46681,0.94701,-0.378427,-0.563909,0.981533,4.538
-0.620468,0.470364,1.020557,-0.378427,-0.563909,0.345187,3.391
0.323866,-1.154061,0.881071,-0.378427,-0.563909,-0.628173,2.692
-0.12714,-0.94634,0.77709,1.273551,-0.563909,-0.729346,3.825
-1.021215,-0.521562,-0.422496,-0.378427,-0.563909,-1.629442,3.206
-0.250141,-0.694274,1.974139,-0.378427,-0.563909,-1.528269,1.78
-0.260722,-0.521562,1.799147,-0.378427,-0.563909,-1.528269,0.533
0.468029,-1.46681,0.312979,-0.378427,-0.563909,0.708016,3.299
-1.041054,-1.154061,-0.102945,-0.378427,-0.563909,-1.145205,2.914
-1.075441,-0.159801,2.93533,-0.378427,-0.563909,-1.851326,1.18
0.612192,-0.94634,0.363702,1.273551,1.758219,-0.061601,3.168
0.822485,-0.94634,0.680717,-0.378427,0.597155,0.013756,3.446
0.153251,-0.159801,1.758569,-0.378427,0.597155,-1.096362,3.496
0.374124,-0.057107,0.5742,-0.378427,-0.563909,0.709411,4.68
0.622773,-1.154061,0.812595,-0.378427,-0.563909,-0.364424,3.252
0.501094,-0.94634,0.860782,-0.378427,-0.563909,-0.364424,2.98
-0.517306,-0.521562,0.523477,2.925529,-0.563909,-1.418722,3.936
0.501094,-0.332513,0.310443,-0.378427,-0.563909,0.345187,5.47
-0.301722,-0.309173,1.910736,-0.378427,-0.563909,-2.111587,1.842
-0.256754,-0.159801,1.702774,-0.378427,-0.563909,-2.111587,0.15
0.501094,-0.332513,0.125306,-0.378427,-0.563909,0.345187,3.736
0.883324,-1.154061,0.764409,-0.378427,-0.563909,-0.118119,3.719
-0.40224,-0.88099,-0.016717,-0.378427,-0.563909,-1.154973,1.749
0.776194,-0.94634,0.812595,-0.378427,-0.563909,-0.118119,3.507
0.552675,-0.94634,0.703542,1.273551,-0.563909,-0.219292,3.979
0.923002,-0.057107,0.561519,-0.378427,-0.563909,1.788829,5.363
1.113456,-1.154061,0.728903,-0.378427,-0.563909,0.751276,4.396
1.019552,-0.94634,0.774554,-0.378427,-0.563909,0.751276,3.984
0.397931,-0.159801,1.875231,-0.378427,-0.563909,-1.561761,1.02
-0.433982,0.932486,2.138987,-0.378427,-0.563909,-0.448851,2.973
0.982519,-0.521562,0.602097,-0.378427,0.597155,0.823144,3.182
1.463944,-0.94634,0.637603,-0.378427,0.597155,1.28645,5.055
1.319781,-1.154061,0.703542,-0.378427,-0.563909,0.972463,4.822
0.400576,0.150614,1.801683,-0.378427,-0.563909,-2.125541,0.33
1.430879,-0.94634,0.721295,-0.378427,-0.563909,1.18388,4.819
1.608107,-0.94634,0.703542,-0.378427,-0.563909,1.387623,5.219
1.770786,-0.94634,0.688325,-0.378427,-0.563909,1.58369,5.268
2.290567,-0.521562,0.41696,2.925529,0.597155,2.420989,3.139
-0.584758,-0.694274,-0.087728,-0.378427,0.597155,-1.125668,2.858
-0.47895,0.316324,-0.326124,-0.378427,0.597155,0.355653,4.191
0.744451,-0.94634,-0.031933,-0.378427,-0.563909,0.491016,4.416
-0.340078,-0.309173,-0.549302,-0.378427,0.597155,-0.287671,3.537
0.637321,0.022247,0.538694,-0.378427,0.597155,-0.376286,4.38
-0.46837,-0.94634,-0.123234,-0.378427,-0.563909,-0.729346,1.408
-2.141454,1.240566,1.066208,-0.378427,-0.563909,-0.628173,2.936
-0.431337,2.813645,0.143059,-0.378427,1.758219,0.701736,8.471
0.428351,2.036442,-1.069207,-0.378427,-0.563909,2.120957,5.861
1.097585,0.764442,-0.313443,-0.378427,-0.563909,1.869767,5.574
0.608224,1.679348,0.087264,-0.378427,-0.563909,-0.153006,3.852
0.081831,0.587062,0.599561,1.273551,0.597155,-0.922623,5.244
2.528634,0.150614,0.320588,-0.378427,1.758219,2.314233,2.548
0.546062,-0.159801,-0.929721,-0.378427,0.597155,0.943157,5.276
0.165154,-0.159801,-0.318515,-0.378427,0.597155,0.128884,3.924
-0.414143,2.234827,-0.955082,-0.378427,-0.563909,2.161426,6.379
-1.287057,1.60933,-1.771713,-0.378427,-0.563909,1.154575,4.705
-0.587403,1.042181,-0.868854,-0.378427,-0.563909,0.174238,4.96
-0.515983,-0.113122,-0.894215,-0.378427,-0.563909,-0.28488,3.766
-0.894246,0.192625,-1.127538,-0.378427,-0.563909,-0.894015,3.641
0.649224,-0.94634,-1.127538,-0.378427,0.597155,1.031074,4.108
-1.146862,0.612735,-1.196014,-0.378427,-0.563909,0.590794,4.42
-1.234153,1.819385,-1.482595,-0.378427,-0.563909,0.437289,5.29
0.598966,-0.309173,0.437249,-0.378427,-0.563909,-0.706321,2.392
0.732548,-0.694274,0.462611,1.273551,-0.563909,0.204241,3.87
1.838239,0.552053,0.084728,-0.378427,-0.563909,1.52508,5.642
-0.71305,-0.521562,-1.216303,-0.378427,-0.563909,-0.848661,4.287
-1.075441,1.051517,-1.010877,-0.378427,-0.563909,1.363202,4.79
-1.238121,0.713095,-1.203622,-0.378427,-0.563909,0.432405,4.296
0.188961,0.743436,0.011181,-0.378427,0.597155,-0.093,6.607
-0.689243,0.463363,-0.901823,-0.378427,-0.563909,0.090508,3.759
0.165154,-0.159801,-0.318515,1.273551,-0.563909,-0.60724,3.278
-0.160205,-0.159801,-0.422496,1.273551,-0.563909,-0.828427,3.118
-0.899536,0.687421,-0.556911,-0.378427,-0.563909,-1.268706,3.237
0.270962,-1.154061,0.576736,-0.378427,-0.563909,0.058412,3.267
-1.423284,0.468031,-1.16558,-0.378427,-0.563909,0.2789,3.933
0.741806,1.964089,0.480363,-0.378427,1.758219,-1.129156,4.486
-0.603274,1.359598,2.435714,-0.378427,-0.563909,-0.494205,4.305
-1.260605,0.608067,-1.163044,-0.378427,-0.563909,-0.097884,3.927
0.551352,-0.94634,-0.490972,1.273551,-0.563909,0.428219,4.35
-0.039848,1.534643,0.001036,-0.378427,-0.563909,-0.132771,4.809
0.096379,0.538049,2.20239,-0.378427,-0.563909,0.114232,4.499
0.634676,-1.154061,-0.775017,-0.378427,-0.563909,0.897106,4.65
0.083153,-0.521562,-0.265257,-0.378427,-0.563909,-0.556305,2.604
0.822485,-0.94634,0.680717,1.273551,-0.563909,0.013756,3.629
0.150606,-0.94634,-0.686253,-0.378427,-0.563909,0.058412,4.07
-0.158882,-0.521562,-0.313443,1.273551,-0.563909,-0.432105,2.93
0.240542,-0.94634,0.733976,1.273551,-0.563909,-0.465597,3.727
0.506384,0.150614,1.304603,-0.378427,1.758219,-0.689575,3.095
-0.71305,-0.521562,-1.216303,-0.378427,-0.563909,-0.848661,6.4
-1.153475,-0.94634,0.94701,1.273551,-0.563909,-1.330806,2.65
-0.517306,-0.521562,0.523477,-0.378427,1.758219,-1.418722,2.851
0.745774,-0.521562,1.073816,-0.378427,0.597155,-0.034389,4.208
-0.576823,-0.94634,0.840493,1.273551,-0.563909,-1.014726,3.654
0.169122,-0.521562,1.251345,-0.378427,0.597155,-0.513742,3.81
-0.620468,-0.521562,1.674877,-0.378427,-0.563909,-1.801786,0.931
-0.082171,0.150614,0.345949,-0.378427,1.758219,-1.168928,3.178
1.834271,-1.154061,0.65282,-0.378427,-0.563909,1.58369,6.255
-0.481596,0.56839,0.825276,-0.378427,-0.563909,-2.299281,2.732
1.559171,0.764442,1.560752,-0.378427,-0.563909,0.784768,4.448
0.31593,-0.521562,0.046686,-0.378427,1.758219,-0.949137,1.086
-1.142894,0.026915,1.099177,-0.378427,-0.563909,-0.913552,2.586
-1.142894,-0.694274,0.675645,-0.378427,0.597155,-1.37895,2.117
-1.628287,1.515972,0.523477,-0.378427,1.758219,0.244013,3.955
-0.813567,1.030511,-0.179028,-0.378427,-0.563909,-0.695854,4.278
0.35164,-0.94634,-0.975371,-0.378427,-0.563909,0.241222,3.112
0.174412,2.783304,-0.676108,-0.378427,1.758219,2.344237,6.897
-1.146862,0.56839,0.460074,-0.378427,0.597155,-1.330806,6.424
1.743012,-0.94634,-0.115625,-0.378427,-0.563909,1.442745,5.78
-1.030473,0.687421,-0.290618,-0.378427,0.597155,-0.786562,1.05
1.343588,-0.159801,0.870926,-0.378427,0.597155,0.654987,3.926
0.851582,1.754034,-0.075047,-0.378427,-0.563909,-0.096488,6.284
0.269639,0.150614,0.056831,-0.378427,1.758219,-0.072765,3.451
0.654515,1.548647,2.100946,-0.378427,2.919283,-0.358842,3.477
0.38735,-0.94634,-1.13261,-0.378427,-0.563909,0.523112,4.967
-0.342723,1.945418,-1.175725,-0.378427,-0.563909,2.160729,5.985
-0.566242,1.887069,0.132915,2.925529,1.758219,-0.201151,6.351
-0.970956,1.887069,-0.168884,-0.378427,1.758219,0.323556,6.207
0.461416,0.022247,-1.026093,-0.378427,0.597155,0.567071,4.68
1.794593,2.489227,-0.523941,-0.378427,-0.563909,0.128884,4.475
0.966648,-0.694274,0.467683,-0.378427,0.597155,0.496598,3.24
0.240542,0.463363,-0.54423,2.925529,-0.563909,-0.665851,5.478
0.150606,-0.94634,-1.353253,-0.378427,-0.563909,0.368212,4.62
-0.693211,1.240566,-0.797842,-0.378427,0.597155,1.192253,5.048
-0.057042,1.639671,0.079656,-0.378427,1.758219,-1.154973,7.045
-1.15612,-0.521562,0.78977,-0.378427,0.597155,-1.37895,1.307
1.112133,-1.46681,-0.110553,1.273551,1.758219,0.807794,2.149
0.698161,0.150614,0.493044,-0.378427,0.597155,-0.568864,3.025
-0.026622,-1.154061,0.990124,-0.378427,-0.563909,-0.913552,2.425
2.495569,1.480963,0.44993,1.273551,4.080347,0.44636,9.612
0.512997,-0.633592,2.055295,-0.378427,-0.563909,-1.835278,1.771
-0.517306,-0.521562,0.908968,1.273551,0.597155,-0.85215,4.603
-0.054397,0.804119,1.380687,-0.378427,1.758219,-0.689575,5.311
1.356814,0.150614,1.048455,-0.378427,1.758219,0.142839,4.713
0.929615,-0.94634,0.143059,4.577507,1.758219,0.304019,4.32
0.973261,0.150614,1.1499,-0.378427,1.758219,-0.256273,4.051
-1.230185,-0.694274,1.515101,-0.378427,-0.563909,-2.20648,1.47
-0.620468,-0.521562,1.606402,-0.378427,0.597155,-1.06287,2.583
0.17309,-0.694274,1.403512,-0.378427,-0.563909,-1.252658,2.474
0.934905,-1.46681,-0.364165,-0.378427,-0.563909,1.01363,4.51
-1.15612,0.470364,1.185405,-0.378427,-0.563909,0.081438,3.007
0.169122,-0.521562,0.645211,-0.378427,0.597155,-0.513742,2.84
0.745774,-0.521562,1.073816,-0.378427,0.597155,-0.034389,4.557
1.019552,-0.94634,1.228519,-0.378427,-0.563909,0.11493,3.604
0.002475,1.50897,-0.965226,-0.378427,0.597155,1.022003,6.564
1.235135,-0.94634,0.74412,-0.378427,-0.563909,0.972463,4.41
1.834271,-1.154061,1.056063,-0.378427,-0.563909,0.947344,5.38
0.35164,3.303774,-1.175725,-0.378427,0.597155,1.955591,6.113
0.573836,-1.154061,0.001036,-0.378427,-0.563909,0.092602,3.374
-0.732889,-0.108454,0.751728,-0.378427,-0.563909,-0.448154,3.109
0.601611,0.526379,1.649516,-0.378427,-0.563909,-0.566771,2.451
0.125476,0.42602,-0.156203,-0.378427,1.758219,-1.512918,5.395
0.020991,0.395678,-0.807987,-0.378427,0.597155,0.422637,4.109
0.281543,-0.694274,-0.716686,-0.378427,0.597155,-0.046948,3.25
-0.160205,-0.159801,-0.422496,1.273551,-0.563909,-0.471877,4.767
0.383383,1.291913,-0.12577,-0.378427,0.597155,-0.184405,5.012
0.311962,-0.94634,0.064439,-0.378427,-0.563909,-0.219292,2.739
0.814549,-1.154061,-0.567055,1.273551,-0.563909,0.841286,7.809
0.711387,-0.694274,-0.868854,-0.378427,-0.563909,0.472177,4.338
-0.900859,0.56839,-1.061599,-0.378427,-0.563909,-0.237434,4.182
0.424383,-0.521562,0.78977,-0.378427,-0.563909,-0.97914,1.134
0.987809,-0.94634,-0.351485,-0.378427,-0.563909,0.694759,5.178
-0.281883,-0.521562,-0.376846,-0.378427,-0.563909,-0.602356,3.219
-0.281883,-0.521562,-0.376846,-0.378427,-0.563909,-0.602356,3.11
0.083153,-0.521562,0.239432,-0.378427,-0.563909,-0.369308,3.07
0.822485,-0.94634,0.751728,-0.378427,-0.563909,-0.158588,2.883
1.495686,0.785447,1.104249,-0.378427,-0.563909,1.345758,4.451
-1.342606,0.192625,-0.333732,-0.378427,-0.563909,-1.051706,2.924
0.706096,0.022247,0.231823,-0.378427,0.597155,-0.453736,5.339
0.622773,-1.154061,0.812595,-0.378427,-0.563909,-0.364424,2.226
0.561933,1.40861,-0.404743,-0.378427,-0.563909,1.463678,6.5
1.10023,0.468031,0.680717,-0.378427,0.597155,0.748485,4.732
-1.411381,1.291913,1.540463,-0.378427,1.758219,-1.361507,1.234
1.643817,-1.154061,-0.186637,-0.378427,-0.563909,1.900468,6.233
0.181025,-0.94634,1.641907,-0.378427,-0.563909,-0.628173,2.107
0.744451,-0.94634,-0.440249,-0.378427,-0.563909,0.491016,4.47
1.281426,-1.46681,0.269865,2.925529,-0.563909,1.081311,5.678
-1.567447,1.095862,1.16258,-0.378427,-0.563909,-1.678982,3.046
-0.604597,0.587062,0.624922,-0.378427,1.758219,-1.431979,4.92
-1.671932,0.197293,-0.26272,-0.378427,-0.563909,-0.555607,2.782
0.306672,-0.465548,-1.048918,-0.378427,-0.563909,0.397518,5.229
-1.338638,1.224229,-1.954314,-0.378427,-0.563909,0.578235,4.737
-1.338638,1.135539,-1.624618,-0.378427,-0.563909,0.374492,4.342
1.03939,1.50897,-0.561983,-0.378427,0.597155,1.852324,7.691
2.067048,-0.521562,-0.392063,-0.378427,0.597155,1.70161,4.727
0.2498,-0.94634,-0.846029,1.273551,-0.563909,0.216801,3.979
1.221909,-1.46681,-0.427568,1.273551,-0.563909,1.349945,5.51
0.284188,2.251165,0.064439,1.273551,0.597155,1.345758,6.143
-0.440595,-0.411867,0.597025,-0.378427,-0.563909,-1.302896,2.115
-0.900859,0.505374,-1.269561,1.273551,-0.563909,0.223081,5.189
0.068605,2.668941,0.145595,-0.378427,4.080347,0.698247,5.383
0.666418,-0.309173,0.396671,1.273551,-0.563909,0.16447,4.557
0.952099,0.498372,0.995196,-0.378427,1.758219,-0.31279,5.184
0.945486,1.651341,-1.152899,-0.378427,-0.563909,0.244013,4.886
1.112133,-1.46681,-0.227215,-0.378427,0.597155,0.882453,5.434
-0.85589,2.036442,-0.244968,-0.378427,-0.563909,1.451816,5.632
-0.587403,1.042181,-0.868854,-0.378427,-0.563909,0.174238,6.317
-0.902181,-0.108454,-0.016717,-0.378427,-0.563909,-0.448154,2.74
0.561933,1.40861,-0.404743,-0.378427,-0.563909,1.463678,6.525
-1.021215,0.470364,0.409352,-0.378427,0.597155,0.244013,5.82
-1.338638,0.839128,-1.343109,-0.378427,-0.563909,0.163074,3.889
0.366189,0.538049,2.03247,-0.378427,-0.563909,0.335418,4.095
0.982519,1.315253,0.475291,-0.378427,0.597155,0.733135,5.052
-1.162733,1.606996,-0.01418,-0.378427,-0.563909,0.404495,4.368
1.072455,1.733029,0.467683,-0.378427,0.597155,1.255749,5.568
-0.554338,0.603399,-0.861245,-0.378427,-0.563909,-0.252086,4.458
0.874066,-0.94634,0.16842,-0.378427,-0.563909,0.234942,3.458
1.523461,0.150614,0.221679,-0.378427,1.758219,1.052704,5.667
0.452158,-0.159801,-1.026093,-0.378427,-0.563909,0.073065,4.544
2.553763,-0.694274,0.576736,6.229485,4.080347,1.71696,6.347
-1.083377,0.839128,-1.160508,-0.378427,0.597155,0.259363,2.608
1.506267,-1.154061,0.683253,-0.378427,-0.563909,1.18388,5.18
-1.006666,-0.94634,-0.290618,-0.378427,-0.563909,-1.014726,3.779
0.691548,-0.113122,1.030702,-0.378427,0.597155,-0.376286,5.029
-2.141454,1.630335,-0.024325,-0.378427,-0.563909,0.063296,4.697
0.468029,-0.302171,-1.170652,-0.378427,-0.563909,1.609507,4.674
0.468029,-0.302171,-1.170652,-0.378427,-0.563909,1.609507,4.384
1.112133,-1.46681,-1.50542,-0.378427,-0.563909,1.849533,7.346
-0.406208,-0.694274,0.850637,-0.378427,-0.563909,-0.861919,2.395
-1.031796,0.764442,0.886143,-0.378427,-0.563909,-2.888181,3.638
0.497126,1.366599,-0.716686,-0.378427,-0.563909,0.838495,6.54
-0.46837,-0.94634,-0.123234,-0.378427,-0.563909,-0.729346,3.38
-1.082054,0.316324,-1.282242,-0.378427,-0.563909,-0.415359,4.961
-0.129785,0.150614,-0.513797,-0.378427,0.597155,-0.469086,3.603
1.325071,-0.465548,0.706078,-0.378427,0.597155,0.130978,3.842
0.368834,0.675752,1.586113,-0.378427,-0.563909,-0.054623,4.116
-1.041054,1.980427,0.011181,-0.378427,-0.563909,0.778488,5.73
0.940196,0.42602,-0.21707,-0.378427,-0.563909,0.82454,4.38
0.479932,-0.694274,1.910736,-0.378427,0.597155,-0.833311,4.182
0.637321,0.17162,0.591953,-0.378427,0.597155,-0.370006,3.841
-0.105978,0.587062,0.493044,-0.378427,-0.563909,-0.647012,3.726
-0.603274,0.713095,-0.785162,-0.378427,0.597155,0.802212,4.208
0.96797,-1.154061,0.462611,-0.378427,-0.563909,0.871289,4.305
2.16492,-0.159801,-0.397135,1.273551,1.758219,1.550896,8.571
1.134617,-1.46681,-0.835884,-0.378427,-0.563909,1.479726,4.425
-0.925988,0.395678,-1.277169,-0.378427,0.597155,-0.03718,3.328
0.345027,0.785447,0.736512,-0.378427,1.758219,-0.689575,3.77
-0.047784,0.939487,1.355326,-0.378427,2.919283,-1.794809,4.512
1.617365,0.468031,0.65282,-0.378427,0.597155,1.25854,5.653
